Country Name,Country Code,Indicator Name,Indicator Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,0.479703606472381,,,,,,,0.316903457650212,,,,0.0259911049139854,0.158747992385788,0.0982491974704937,0.032368019769279,0.0475703152650846,0.055214489481225,0.0926213791920241,0.0850519234283339,0.0790482747613539,0.0758499483757353
Aruba,ABW,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,2.67189261162791,,,,,,,0.37877041439368,,,,0.647521458104959,0.826171059668165,0.826909485637805,0.253546899988292,0.303565158308217,0.397703079676524,0.496104308709871,0.335163972231095,0.298954768005412,0.310605321287655
Aruba,ABW,Rural population (% of total population),SP.RUR.TOTL.ZS,52.464,52.873,53.283,53.661,54.028,54.394,54.76,55.125,55.489,55.853,56.217,56.579,56.941,57.06,57.043,57.01,56.959,56.892,56.808,56.707,56.589
Aruba,ABW,Rural population growth (annual %),SP.RUR.TOTL.ZG,2.89817558970959,2.73794956981219,2.82623635499575,2.93327495586734,2.9101013741573,2.78422872496805,2.42807162224806,1.96691626256755,1.45825040737631,1.03834230675331,0.782272568120908,0.737881685432298,0.848278615824323,0.578723260437128,0.472887028751366,0.525087726398575,0.505428484374126,0.427109393196944,0.359851739443456,0.291638240327567,0.245722958311065
Aruba,ABW,Rural population,SP.RUR.TOTL,45789,47060,48409,49850,51322,52771,54068,55142,55952,56536,56980,57402,57891,58227,58503,58811,59109,59362,59576,59750,59897
Aruba,ABW,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Rural poverty gap at national poverty lines (%),SI.POV.RUGP,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.407981130872697,0.383292096465087,0.410021828071138,0.405149839976724,0.402215827338129,0.401381978993919,0.391652043118576,0.386673058485139,0.393755760368664,0.405233924375134,0.380728530728531,0.440397943214845,,,,,,,,,
Aruba,ABW,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,6793296.08938548,6603351.95530726,7681564.24581006,7779329.60893855,7808379.88826816,8112849.16201117,8727932.96089385,9012290.5027933,9546927.37430168,10597206.7039106,10451955.3072626,11005027.9329609,,,,,,,,,
